title,description,category,text
Шкаф купе,Продается в связи с переездом. Самовывоз.,Мебель,Шкаф купе. Продается в связи с переездом. Самовывоз.
Однокомнатная квартира,Есть мебель и бытовая техника. Реальные фотографии.,Недвижимость,Однокомнатная квартира. Есть мебель и бытовая техника. Реальные фотографии.
Фотоаппарат Canon,Можно проверить при встрече перед покупкой. Доставка обсуждается отдельно.,Электроника,Фотоаппарат Canon. Можно проверить при встрече перед покупкой. Доставка обсуждается отдельно.
Фотограф на мероприятие,Предварительно обсуждаем требования и результат. Срочная продажа.,Услуги,Фотограф на мероприятие. Предварительно обсуждаем требования и результат. Срочная продажа.
Nissan Qashqai,Двигатель и коробка работают без нареканий. Пишите в сообщения.,Автомобили,Nissan Qashqai. Двигатель и коробка работают без нареканий. Пишите в сообщения.
Письменный стол,"Хорошее состояние, без серьезных повреждений. Возможен торг.",Мебель,"Письменный стол. Хорошее состояние, без серьезных повреждений. Возможен торг."
Планшет Samsung,"Полностью исправен, использовался аккуратно, все функции работают. Пишите в сообщения.",Электроника,"Планшет Samsung. Полностью исправен, использовался аккуратно, все функции работают. Пишите в сообщения."
Смартфон Samsung Galaxy,Можно проверить при встрече перед покупкой. Есть дополнительные фотографии.,Электроника,Смартфон Samsung Galaxy. Можно проверить при встрече перед покупкой. Есть дополнительные фотографии.
Фотограф на мероприятие,Предварительно обсуждаем требования и результат. Пишите в сообщения.,Услуги,Фотограф на мероприятие. Предварительно обсуждаем требования и результат. Пишите в сообщения.
Шкаф купе,Можно забрать самостоятельно. Доставка обсуждается отдельно.,Мебель,Шкаф купе. Можно забрать самостоятельно. Доставка обсуждается отдельно.
Шкаф купе,Размеры и дополнительные фотографии отправлю в сообщении. Есть дополнительные фотографии.,Мебель,Шкаф купе. Размеры и дополнительные фотографии отправлю в сообщении. Есть дополнительные фотографии.
Классическая рубашка,"Оригинальная вещь, покупалась в магазине. Доставка обсуждается отдельно.",Одежда,"Классическая рубашка. Оригинальная вещь, покупалась в магазине. Доставка обсуждается отдельно."
Ноутбук ASUS,Продаю в связи с покупкой новой модели. Можно посмотреть перед покупкой.,Электроника,Ноутбук ASUS. Продаю в связи с покупкой новой модели. Можно посмотреть перед покупкой.
Репетитор по математике,Можно заказать отдельную услугу или полный комплекс работ. Реальные фотографии.,Услуги,Репетитор по математике. Можно заказать отдельную услугу или полный комплекс работ. Реальные фотографии.
Комод для спальни,"Есть небольшие следы эксплуатации, на функциональность не влияют. Пишите в сообщения.",Мебель,"Комод для спальни. Есть небольшие следы эксплуатации, на функциональность не влияют. Пишите в сообщения."
Lada Vesta,Регулярно проходил техническое обслуживание. Цена обсуждается.,Автомобили,Lada Vesta. Регулярно проходил техническое обслуживание. Цена обсуждается.
Женские кеды,Дополнительные фотографии отправлю по запросу. Возможен торг.,Одежда,Женские кеды. Дополнительные фотографии отправлю по запросу. Возможен торг.
Телевизор LG,"Подойдет для работы, учебы и повседневных задач. Срочная продажа.",Электроника,"Телевизор LG. Подойдет для работы, учебы и повседневных задач. Срочная продажа."
Фотоаппарат Canon,"Отличное состояние, без серьезных следов использования. Самовывоз.",Электроника,"Фотоаппарат Canon. Отличное состояние, без серьезных следов использования. Самовывоз."
Фотоаппарат Canon,Можно проверить при встрече перед покупкой. Есть дополнительные фотографии.,Электроника,Фотоаппарат Canon. Можно проверить при встрече перед покупкой. Есть дополнительные фотографии.
Создание презентации,Принимаю заказы онлайн и в городе. Доставка обсуждается отдельно.,Услуги,Создание презентации. Принимаю заказы онлайн и в городе. Доставка обсуждается отдельно.
Квартира рядом с метро,Тихий район с удобным подъездом. Срочная продажа.,Недвижимость,Квартира рядом с метро. Тихий район с удобным подъездом. Срочная продажа.
Кожаная обувь,"Размер указан на фотографии, состояние отличное. Самовывоз.",Одежда,"Кожаная обувь. Размер указан на фотографии, состояние отличное. Самовывоз."
Мужской свитер,"Размер указан на фотографии, состояние отличное. Пишите в сообщения.",Одежда,"Мужской свитер. Размер указан на фотографии, состояние отличное. Пишите в сообщения."
Кухонный гарнитур,"Хорошее состояние, без серьезных повреждений. Реальные фотографии.",Мебель,"Кухонный гарнитур. Хорошее состояние, без серьезных повреждений. Реальные фотографии."
Перевод текстов,"Работаю с частными клиентами, стоимость обсуждается заранее. Возможен торг.",Услуги,"Перевод текстов. Работаю с частными клиентами, стоимость обсуждается заранее. Возможен торг."
Трехкомнатная квартира,Тихий район с удобным подъездом. Цена обсуждается.,Недвижимость,Трехкомнатная квартира. Тихий район с удобным подъездом. Цена обсуждается.
Игровая приставка,Продаю в связи с покупкой новой модели. Срочная продажа.,Электроника,Игровая приставка. Продаю в связи с покупкой новой модели. Срочная продажа.
Обеденный стол,"Использовалась аккуратно, все механизмы работают. Самовывоз.",Мебель,"Обеденный стол. Использовалась аккуратно, все механизмы работают. Самовывоз."
Комод для спальни,Удобный вариант для небольшой комнаты. Реальные фотографии.,Мебель,Комод для спальни. Удобный вариант для небольшой комнаты. Реальные фотографии.
Комната в общежитии,В квартире никто не проживает. Срочная продажа.,Недвижимость,Комната в общежитии. В квартире никто не проживает. Срочная продажа.
Книжный шкаф,"Есть небольшие следы эксплуатации, на функциональность не влияют. Доставка обсуждается отдельно.",Мебель,"Книжный шкаф. Есть небольшие следы эксплуатации, на функциональность не влияют. Доставка обсуждается отдельно."
Ноутбук ASUS,Хороший вариант для дома или офиса. Пишите в сообщения.,Электроника,Ноутбук ASUS. Хороший вариант для дома или офиса. Пишите в сообщения.
Вечернее платье,Можно примерить перед покупкой. Возможен торг.,Одежда,Вечернее платье. Можно примерить перед покупкой. Возможен торг.
Двуспальная кровать,"Использовалась аккуратно, все механизмы работают. Цена обсуждается.",Мебель,"Двуспальная кровать. Использовалась аккуратно, все механизмы работают. Цена обсуждается."
Книжный шкаф,Можно забрать самостоятельно. Пишите в сообщения.,Мебель,Книжный шкаф. Можно забрать самостоятельно. Пишите в сообщения.
Стеллаж,Можно забрать самостоятельно. Самовывоз.,Мебель,Стеллаж. Можно забрать самостоятельно. Самовывоз.
Дизайн логотипа,Работаю аккуратно и соблюдаю сроки. Пишите в сообщения.,Услуги,Дизайн логотипа. Работаю аккуратно и соблюдаю сроки. Пишите в сообщения.
Мужская куртка,"Продаю в связи с тем, что не подошел размер. Пишите в сообщения.",Одежда,"Мужская куртка. Продаю в связи с тем, что не подошел размер. Пишите в сообщения."
Репетитор по математике,Работаю аккуратно и соблюдаю сроки. Доставка обсуждается отдельно.,Услуги,Репетитор по математике. Работаю аккуратно и соблюдаю сроки. Доставка обсуждается отдельно.
Стеллаж,"Подойдет для квартиры, дома или офиса. Возможен торг.",Мебель,"Стеллаж. Подойдет для квартиры, дома или офиса. Возможен торг."
Женское пальто,"Продаю в связи с тем, что не подошел размер. Можно посмотреть перед покупкой.",Одежда,"Женское пальто. Продаю в связи с тем, что не подошел размер. Можно посмотреть перед покупкой."
Женская зимняя куртка,"Носилось несколько раз, без заметных повреждений. Реальные фотографии.",Одежда,"Женская зимняя куртка. Носилось несколько раз, без заметных повреждений. Реальные фотографии."
Квартира рядом с метро,Тихий район с удобным подъездом. Самовывоз.,Недвижимость,Квартира рядом с метро. Тихий район с удобным подъездом. Самовывоз.
Ремонт квартир,Стоимость зависит от объема и сложности задачи. Реальные фотографии.,Услуги,Ремонт квартир. Стоимость зависит от объема и сложности задачи. Реальные фотографии.
Детская куртка,"Хранилось аккуратно, внешний вид сохранен. Срочная продажа.",Одежда,"Детская куртка. Хранилось аккуратно, внешний вид сохранен. Срочная продажа."
Тумба под телевизор,"Подойдет для квартиры, дома или офиса. Цена обсуждается.",Мебель,"Тумба под телевизор. Подойдет для квартиры, дома или офиса. Цена обсуждается."
Детская куртка,Без пятен и повреждений. Срочная продажа.,Одежда,Детская куртка. Без пятен и повреждений. Срочная продажа.
Ремонт компьютеров,Предварительно обсуждаем требования и результат. Реальные фотографии.,Услуги,Ремонт компьютеров. Предварительно обсуждаем требования и результат. Реальные фотографии.
Планшет Samsung,"Полностью исправен, использовался аккуратно, все функции работают. Реальные фотографии.",Электроника,"Планшет Samsung. Полностью исправен, использовался аккуратно, все функции работают. Реальные фотографии."
Компьютерный стол,Удобный вариант для небольшой комнаты. Подробности расскажу по телефону.,Мебель,Компьютерный стол. Удобный вариант для небольшой комнаты. Подробности расскажу по телефону.
Toyota Camry,Подойдет для города и дальних поездок. Самовывоз.,Автомобили,Toyota Camry. Подойдет для города и дальних поездок. Самовывоз.
iPhone в отличном состоянии,В комплекте зарядное устройство и оригинальная упаковка. Доставка обсуждается отдельно.,Электроника,iPhone в отличном состоянии. В комплекте зарядное устройство и оригинальная упаковка. Доставка обсуждается отдельно.
Вечернее платье,"Носилось несколько раз, без заметных повреждений. Самовывоз.",Одежда,"Вечернее платье. Носилось несколько раз, без заметных повреждений. Самовывоз."
Renault Logan,Готов к проверке на любом сервисе. Самовывоз.,Автомобили,Renault Logan. Готов к проверке на любом сервисе. Самовывоз.
Перевод текстов,"Работаю с частными клиентами, стоимость обсуждается заранее. Есть дополнительные фотографии.",Услуги,"Перевод текстов. Работаю с частными клиентами, стоимость обсуждается заранее. Есть дополнительные фотографии."
Фотосессия,Можно заказать отдельную услугу или полный комплекс работ. Самовывоз.,Услуги,Фотосессия. Можно заказать отдельную услугу или полный комплекс работ. Самовывоз.
Mazda 6,Автомобиль в хорошем техническом состоянии. Доставка обсуждается отдельно.,Автомобили,Mazda 6. Автомобиль в хорошем техническом состоянии. Доставка обсуждается отдельно.
BMW 3 серии,Есть комплект зимней резины. Срочная продажа.,Автомобили,BMW 3 серии. Есть комплект зимней резины. Срочная продажа.
Стеллаж,Прочная конструкция и аккуратный внешний вид. Можно посмотреть перед покупкой.,Мебель,Стеллаж. Прочная конструкция и аккуратный внешний вид. Можно посмотреть перед покупкой.
Трехкомнатная квартира,"Рядом школа, детский сад и магазины. Можно посмотреть перед покупкой.",Недвижимость,"Трехкомнатная квартира. Рядом школа, детский сад и магазины. Можно посмотреть перед покупкой."
Комод для спальни,"Хорошее состояние, без серьезных повреждений. Доставка обсуждается отдельно.",Мебель,"Комод для спальни. Хорошее состояние, без серьезных повреждений. Доставка обсуждается отдельно."
Тумба под телевизор,Можно забрать самостоятельно. Можно посмотреть перед покупкой.,Мебель,Тумба под телевизор. Можно забрать самостоятельно. Можно посмотреть перед покупкой.
Дом с участком,Есть мебель и бытовая техника. Цена обсуждается.,Недвижимость,Дом с участком. Есть мебель и бытовая техника. Цена обсуждается.
Двуспальная кровать,Можно забрать самостоятельно. Можно посмотреть перед покупкой.,Мебель,Двуспальная кровать. Можно забрать самостоятельно. Можно посмотреть перед покупкой.
Джинсы Levi's,Без пятен и повреждений. Самовывоз.,Одежда,Джинсы Levi's. Без пятен и повреждений. Самовывоз.
Джинсы Levi's,"Носилось несколько раз, без заметных повреждений. Есть дополнительные фотографии.",Одежда,"Джинсы Levi's. Носилось несколько раз, без заметных повреждений. Есть дополнительные фотографии."
Видеокарта NVIDIA,"Полностью исправен, использовался аккуратно, все функции работают. Подробности расскажу по телефону.",Электроника,"Видеокарта NVIDIA. Полностью исправен, использовался аккуратно, все функции работают. Подробности расскажу по телефону."
Volkswagen Polo,Готов к проверке на любом сервисе. Срочная продажа.,Автомобили,Volkswagen Polo. Готов к проверке на любом сервисе. Срочная продажа.
Игровая приставка,"Работает стабильно, недавно прошел проверку. Есть дополнительные фотографии.",Электроника,"Игровая приставка. Работает стабильно, недавно прошел проверку. Есть дополнительные фотографии."
Кресло для гостиной,Продается в связи с переездом. Можно посмотреть перед покупкой.,Мебель,Кресло для гостиной. Продается в связи с переездом. Можно посмотреть перед покупкой.
Настройка ноутбука,Стоимость зависит от объема и сложности задачи. Есть дополнительные фотографии.,Услуги,Настройка ноутбука. Стоимость зависит от объема и сложности задачи. Есть дополнительные фотографии.
Детская куртка,"Материал качественный, выглядит аккуратно. Есть дополнительные фотографии.",Одежда,"Детская куртка. Материал качественный, выглядит аккуратно. Есть дополнительные фотографии."
Летнее платье,"Хранилось аккуратно, внешний вид сохранен. Доставка обсуждается отдельно.",Одежда,"Летнее платье. Хранилось аккуратно, внешний вид сохранен. Доставка обсуждается отдельно."
Hyundai Creta,Двигатель и коробка работают без нареканий. Цена обсуждается.,Автомобили,Hyundai Creta. Двигатель и коробка работают без нареканий. Цена обсуждается.
BMW 3 серии,Есть комплект зимней резины. Реальные фотографии.,Автомобили,BMW 3 серии. Есть комплект зимней резины. Реальные фотографии.
Мужская куртка,"Размер указан на фотографии, состояние отличное. Самовывоз.",Одежда,"Мужская куртка. Размер указан на фотографии, состояние отличное. Самовывоз."
Монтаж видео,Примеры выполненных работ отправлю по запросу. Подробности расскажу по телефону.,Услуги,Монтаж видео. Примеры выполненных работ отправлю по запросу. Подробности расскажу по телефону.
Комната в общежитии,В квартире никто не проживает. Пишите в сообщения.,Недвижимость,Комната в общежитии. В квартире никто не проживает. Пишите в сообщения.
Lada Vesta,Есть комплект зимней резины. Цена обсуждается.,Автомобили,Lada Vesta. Есть комплект зимней резины. Цена обсуждается.
Земельный участок,Документы готовы к сделке. Самовывоз.,Недвижимость,Земельный участок. Документы готовы к сделке. Самовывоз.
Hyundai Creta,"Пробег подтвержден, документы в порядке. Есть дополнительные фотографии.",Автомобили,"Hyundai Creta. Пробег подтвержден, документы в порядке. Есть дополнительные фотографии."
Классическая рубашка,"Размер указан на фотографии, состояние отличное. Возможен торг.",Одежда,"Классическая рубашка. Размер указан на фотографии, состояние отличное. Возможен торг."
Монитор для компьютера,В комплекте зарядное устройство и оригинальная упаковка. Цена обсуждается.,Электроника,Монитор для компьютера. В комплекте зарядное устройство и оригинальная упаковка. Цена обсуждается.
Земельный участок,Тихий район с удобным подъездом. Доставка обсуждается отдельно.,Недвижимость,Земельный участок. Тихий район с удобным подъездом. Доставка обсуждается отдельно.
Шкаф купе,"Хорошее состояние, без серьезных повреждений. Самовывоз.",Мебель,"Шкаф купе. Хорошее состояние, без серьезных повреждений. Самовывоз."
Ford Focus,Есть комплект зимней резины. Срочная продажа.,Автомобили,Ford Focus. Есть комплект зимней резины. Срочная продажа.
Планшет Samsung,"Есть коробка, документы и необходимые аксессуары. Реальные фотографии.",Электроника,"Планшет Samsung. Есть коробка, документы и необходимые аксессуары. Реальные фотографии."
Настройка ноутбука,Стоимость зависит от объема и сложности задачи. Цена обсуждается.,Услуги,Настройка ноутбука. Стоимость зависит от объема и сложности задачи. Цена обсуждается.
Компьютерный стол,"Использовалась аккуратно, все механизмы работают. Самовывоз.",Мебель,"Компьютерный стол. Использовалась аккуратно, все механизмы работают. Самовывоз."
Земельный участок,Рядом находится общественный транспорт и необходимая инфраструктура. Реальные фотографии.,Недвижимость,Земельный участок. Рядом находится общественный транспорт и необходимая инфраструктура. Реальные фотографии.
Компьютерное кресло,Продается в связи с переездом. Реальные фотографии.,Мебель,Компьютерное кресло. Продается в связи с переездом. Реальные фотографии.
Ноутбук ASUS,"Использовался дома, хранился бережно. Самовывоз.",Электроника,"Ноутбук ASUS. Использовался дома, хранился бережно. Самовывоз."
Видеокарта NVIDIA,Можно проверить при встрече перед покупкой. Цена обсуждается.,Электроника,Видеокарта NVIDIA. Можно проверить при встрече перед покупкой. Цена обсуждается.
Skoda Octavia,Подойдет для города и дальних поездок. Самовывоз.,Автомобили,Skoda Octavia. Подойдет для города и дальних поездок. Самовывоз.
Спортивный костюм,"Материал качественный, выглядит аккуратно. Возможен торг.",Одежда,"Спортивный костюм. Материал качественный, выглядит аккуратно. Возможен торг."
Дизайн логотипа,"Работаю по договоренности, сроки согласовываем заранее. Срочная продажа.",Услуги,"Дизайн логотипа. Работаю по договоренности, сроки согласовываем заранее. Срочная продажа."
Репетитор по английскому,Работаю аккуратно и соблюдаю сроки. Подробности расскажу по телефону.,Услуги,Репетитор по английскому. Работаю аккуратно и соблюдаю сроки. Подробности расскажу по телефону.
Квартира студия,"Хороший район, рядом магазины и остановки. Пишите в сообщения.",Недвижимость,"Квартира студия. Хороший район, рядом магазины и остановки. Пишите в сообщения."
Женское пальто,"Размер указан на фотографии, состояние отличное. Срочная продажа.",Одежда,"Женское пальто. Размер указан на фотографии, состояние отличное. Срочная продажа."
Клавиатура механическая,"Подойдет для работы, учебы и повседневных задач. Подробности расскажу по телефону.",Электроника,"Клавиатура механическая. Подойдет для работы, учебы и повседневных задач. Подробности расскажу по телефону."
Компьютерный стол,Прочная конструкция и аккуратный внешний вид. Цена обсуждается.,Мебель,Компьютерный стол. Прочная конструкция и аккуратный внешний вид. Цена обсуждается.
Разработка сайта,"Большой опыт, возможен выезд к заказчику. Подробности расскажу по телефону.",Услуги,"Разработка сайта. Большой опыт, возможен выезд к заказчику. Подробности расскажу по телефону."
Электронная книга,Можно проверить при встрече перед покупкой. Реальные фотографии.,Электроника,Электронная книга. Можно проверить при встрече перед покупкой. Реальные фотографии.
Гараж,Рядом находится общественный транспорт и необходимая инфраструктура. Реальные фотографии.,Недвижимость,Гараж. Рядом находится общественный транспорт и необходимая инфраструктура. Реальные фотографии.
Создание презентации,"Работаю по договоренности, сроки согласовываем заранее. Есть дополнительные фотографии.",Услуги,"Создание презентации. Работаю по договоренности, сроки согласовываем заранее. Есть дополнительные фотографии."
Ноутбук Lenovo,"Отличное состояние, без серьезных следов использования. Самовывоз.",Электроника,"Ноутбук Lenovo. Отличное состояние, без серьезных следов использования. Самовывоз."
Volkswagen Tiguan,Автомобиль в хорошем техническом состоянии. Подробности расскажу по телефону.,Автомобили,Volkswagen Tiguan. Автомобиль в хорошем техническом состоянии. Подробности расскажу по телефону.
Кухонный гарнитур,Мебель чистая и готова к использованию. Возможен торг.,Мебель,Кухонный гарнитур. Мебель чистая и готова к использованию. Возможен торг.
Книжный шкаф,Мебель чистая и готова к использованию. Срочная продажа.,Мебель,Книжный шкаф. Мебель чистая и готова к использованию. Срочная продажа.
Hyundai Creta,"Салон аккуратный, без посторонних запахов. Возможен торг.",Автомобили,"Hyundai Creta. Салон аккуратный, без посторонних запахов. Возможен торг."
Летнее платье,Без пятен и повреждений. Можно посмотреть перед покупкой.,Одежда,Летнее платье. Без пятен и повреждений. Можно посмотреть перед покупкой.
Мужские кроссовки,"Хранилось аккуратно, внешний вид сохранен. Цена обсуждается.",Одежда,"Мужские кроссовки. Хранилось аккуратно, внешний вид сохранен. Цена обсуждается."
Джинсы Levi's,"Материал качественный, выглядит аккуратно. Цена обсуждается.",Одежда,"Джинсы Levi's. Материал качественный, выглядит аккуратно. Цена обсуждается."
Квартира студия,Документы готовы к сделке. Цена обсуждается.,Недвижимость,Квартира студия. Документы готовы к сделке. Цена обсуждается.
Джинсы Levi's,Можно примерить перед покупкой. Доставка обсуждается отдельно.,Одежда,Джинсы Levi's. Можно примерить перед покупкой. Доставка обсуждается отдельно.
Письменный стол,Удобный вариант для небольшой комнаты. Самовывоз.,Мебель,Письменный стол. Удобный вариант для небольшой комнаты. Самовывоз.
Кухонный гарнитур,"Использовалась аккуратно, все механизмы работают. Возможен торг.",Мебель,"Кухонный гарнитур. Использовалась аккуратно, все механизмы работают. Возможен торг."
Однокомнатная квартира,"Хороший район, рядом магазины и остановки. Доставка обсуждается отдельно.",Недвижимость,"Однокомнатная квартира. Хороший район, рядом магазины и остановки. Доставка обсуждается отдельно."
Компьютерное кресло,Удобный вариант для небольшой комнаты. Доставка обсуждается отдельно.,Мебель,Компьютерное кресло. Удобный вариант для небольшой комнаты. Доставка обсуждается отдельно.
Hyundai Creta,Готов к проверке на любом сервисе. Срочная продажа.,Автомобили,Hyundai Creta. Готов к проверке на любом сервисе. Срочная продажа.
Трехкомнатная квартира,Есть мебель и бытовая техника. Доставка обсуждается отдельно.,Недвижимость,Трехкомнатная квартира. Есть мебель и бытовая техника. Доставка обсуждается отдельно.
Книжный шкаф,Можно забрать самостоятельно. Можно посмотреть перед покупкой.,Мебель,Книжный шкаф. Можно забрать самостоятельно. Можно посмотреть перед покупкой.
Мужские кроссовки,"Продаю в связи с тем, что не подошел размер. Можно посмотреть перед покупкой.",Одежда,"Мужские кроссовки. Продаю в связи с тем, что не подошел размер. Можно посмотреть перед покупкой."
Компьютерный стол,Прочная конструкция и аккуратный внешний вид. Самовывоз.,Мебель,Компьютерный стол. Прочная конструкция и аккуратный внешний вид. Самовывоз.
Электронная книга,Продаю в связи с покупкой новой модели. Срочная продажа.,Электроника,Электронная книга. Продаю в связи с покупкой новой модели. Срочная продажа.
Ноутбук ASUS,"Есть коробка, документы и необходимые аксессуары. Самовывоз.",Электроника,"Ноутбук ASUS. Есть коробка, документы и необходимые аксессуары. Самовывоз."
Ford Focus,Подойдет для города и дальних поездок. Доставка обсуждается отдельно.,Автомобили,Ford Focus. Подойдет для города и дальних поездок. Доставка обсуждается отдельно.
Volkswagen Tiguan,Регулярно проходил техническое обслуживание. Можно посмотреть перед покупкой.,Автомобили,Volkswagen Tiguan. Регулярно проходил техническое обслуживание. Можно посмотреть перед покупкой.
Книжный шкаф,Продается в связи с переездом. Срочная продажа.,Мебель,Книжный шкаф. Продается в связи с переездом. Срочная продажа.
Перевод текстов,Можно заказать отдельную услугу или полный комплекс работ. Пишите в сообщения.,Услуги,Перевод текстов. Можно заказать отдельную услугу или полный комплекс работ. Пишите в сообщения.
Фотосессия,Можно заказать отдельную услугу или полный комплекс работ. Подробности расскажу по телефону.,Услуги,Фотосессия. Можно заказать отдельную услугу или полный комплекс работ. Подробности расскажу по телефону.
Загородный дом,Тихий район с удобным подъездом. Срочная продажа.,Недвижимость,Загородный дом. Тихий район с удобным подъездом. Срочная продажа.
Renault Logan,Готов к проверке на любом сервисе. Подробности расскажу по телефону.,Автомобили,Renault Logan. Готов к проверке на любом сервисе. Подробности расскажу по телефону.
BMW 3 серии,"Салон аккуратный, без посторонних запахов. Возможен торг.",Автомобили,"BMW 3 серии. Салон аккуратный, без посторонних запахов. Возможен торг."
Kia Rio,Есть комплект зимней резины. Подробности расскажу по телефону.,Автомобили,Kia Rio. Есть комплект зимней резины. Подробности расскажу по телефону.
Трехкомнатная квартира,"Хороший район, рядом магазины и остановки. Есть дополнительные фотографии.",Недвижимость,"Трехкомнатная квартира. Хороший район, рядом магазины и остановки. Есть дополнительные фотографии."
Детский письменный стол,"Хорошее состояние, без серьезных повреждений. Доставка обсуждается отдельно.",Мебель,"Детский письменный стол. Хорошее состояние, без серьезных повреждений. Доставка обсуждается отдельно."
Разработка сайта,"Большой опыт, возможен выезд к заказчику. Есть дополнительные фотографии.",Услуги,"Разработка сайта. Большой опыт, возможен выезд к заказчику. Есть дополнительные фотографии."
Ford Focus,Есть комплект зимней резины. Доставка обсуждается отдельно.,Автомобили,Ford Focus. Есть комплект зимней резины. Доставка обсуждается отдельно.
Ремонт квартир,Работаю аккуратно и соблюдаю сроки. Можно посмотреть перед покупкой.,Услуги,Ремонт квартир. Работаю аккуратно и соблюдаю сроки. Можно посмотреть перед покупкой.
Volkswagen Polo,Регулярно проходил техническое обслуживание. Срочная продажа.,Автомобили,Volkswagen Polo. Регулярно проходил техническое обслуживание. Срочная продажа.
